timestamp,funds_reserved,funds_disbursed,rebate_avail
2022-05-14 05:39:01,3648000,186733857,5484659
2022-05-15 04:44:00,3870000,186733857,5262659
2022-05-16 04:47:36,3999000,186733857,5133659
2022-05-17 04:47:44,3850500,187006857,5009159
2022-05-18 04:45:17,2813501,188122857,4930158
2022-05-19 04:47:25,2944001,188122857,4799658
2022-05-20 04:42:29,3062501,188122857,4681158
2022-05-21 04:37:53,3223001,188122857,4520658
2022-05-22 04:37:53,3373001,188122857,4370658
2022-05-23 04:47:21,3442001,188122857,4301658
2022-05-24 04:48:18,3463001,188122857,4280658
2022-05-25 04:45:31,3556001,188117857,4192658
2022-05-26 04:45:53,3626501,188117857,4122158
2022-05-27 04:46:54,3736001,188117857,4012658
2022-05-28 04:38:05,3827501,188117857,3921158
2022-05-29 04:45:46,3920501,188117857,3828158
2022-05-30 04:53:26,3943001,188117857,3805658
2022-05-31 04:47:06,4007501,188117857,3741158
2022-06-01 05:22:22,3449501,188795857,3621158
2022-06-02 05:00:28,3545501,188795857,3525158
2022-06-03 04:36:21,3623501,188795857,3447158
2022-06-04 04:33:15,3668501,188795857,3402158
2022-06-05 04:33:07,3734501,188795857,3336158
2022-06-06 04:43:36,3761501,188795857,3309158
2022-06-07 04:38:43,3824501,188795857,3246158
2022-06-08 04:42:56,3890501,188795857,3180158
2022-06-09 04:41:34,3962501,188795857,3108158
2022-06-10 04:38:20,4024001,188795857,3046658
2022-06-11 04:35:38,4052501,188795857,3018158
2022-06-12 04:37:17,4114001,188795857,2956658
2022-06-13 04:51:47,4133501,188795857,2937158
2022-06-14 05:01:32,4183001,188795857,2887658
2022-06-15 04:48:11,3781001,189236857,2848658
2022-06-16 04:46:04,3839501,189236857,2790158
2022-06-17 04:45:44,3904001,189236857,2725658
2022-06-18 04:37:20,3953501,189236857,2676158
2022-06-19 04:43:42,4003001,189236857,2626658
2022-06-20 04:39:50,4021001,189236857,2608658
2022-06-21 04:50:05,4073501,189236857,2556158
2022-06-22 04:48:49,4150001,189236857,2479658
2022-06-23 04:50:23,4208501,189233857,7424158
2022-06-24 04:50:45,4261001,189233857,7371658
2022-06-25 04:39:47,4319501,189233857,7313158
2022-06-26 04:42:54,4381001,189233857,7251658
2022-06-27 05:02:07,4408001,189233857,7224658
2022-06-28 04:54:32,3923501,189775357,7167658
2022-06-29 04:57:25,3241001,190520857,7104658
2022-06-30 04:52:54,3298001,190520857,7047658
2022-07-01 05:08:55,3372001,190520857,6973658
2022-07-02 04:47:34,3387001,190520857,6958658
2022-07-03 04:39:59,3438001,190520857,6907658
2022-07-04 04:57:30,3453001,190520857,6892658
2022-07-05 04:48:09,3516001,190520857,6829658
2022-07-06 04:58:43,3543001,190520857,6802658
2022-07-07 04:56:48,3598501,190520857,6747158
2022-07-08 04:52:50,3648001,190520857,6697658
2022-07-09 04:37:14,3708001,190520857,6637658
2022-07-10 04:40:29,3759001,190520857,6586658
2022-07-11 04:52:15,3772501,190520857,6573158
2022-07-12 05:10:09,3823501,190520857,6522158
2022-07-13 04:48:48,3856501,190520857,6489158
2022-07-14 05:02:35,3538501,190865857,6462158
2022-07-15 05:13:06,2774000,191654358,6438158
2022-07-16 04:41:58,2837000,191654358,6375158
2022-07-17 04:46:37,2970500,191654358,6241658
2022-07-18 05:00:47,3029000,191654358,6183158
2022-07-19 05:17:34,3084500,191654358,6127658
2022-07-20 04:53:43,3129500,191654358,6082658
2022-07-21 04:57:29,3182000,191654358,6030158
2022-07-22 04:56:47,3221000,191654358,5991158
2022-07-23 04:44:48,3329000,191654358,5883158
2022-07-24 04:46:48,3449000,191654358,5763158
2022-07-25 05:00:03,3542000,191654358,5670158
2022-07-26 05:15:50,3642500,191654358,5569658
2022-07-27 05:04:32,3732500,191654358,5479658
2022-07-28 04:55:46,3912500,191649358,5304658
2022-07-29 05:00:33,4112000,191649358,5105158
2022-07-30 04:49:28,4298000,191649358,4919158
2022-07-31 04:46:43,4496000,191649358,4721158
2022-08-01 05:23:47,4656500,191649358,4560658
2022-08-02 05:19:24,4704500,191649358,4512658
2022-08-03 05:16:25,NA,NA,NA
2022-08-04 04:59:09,NA,NA,NA
2022-08-05 04:58:21,NA,NA,NA
2022-08-06 04:37:40,NA,NA,NA
2022-08-07 04:38:15,NA,NA,NA
2022-08-08 04:48:29,NA,NA,NA
2022-08-09 04:53:54,NA,NA,NA
2022-08-10 04:36:23,NA,NA,NA
2022-08-11 04:39:01,NA,NA,NA
2022-08-12 04:45:49,NA,NA,NA
2022-08-13 04:38:44,NA,NA,NA
2022-08-14 04:41:01,NA,NA,NA
2022-08-15 05:13:08,NA,NA,NA
2022-08-16 04:51:03,NA,NA,NA
2022-08-17 05:17:27,NA,NA,NA
2022-08-18 05:09:36,NA,NA,NA
2022-08-19 05:00:05,NA,NA,NA
2022-08-20 04:45:58,NA,NA,NA
2022-08-21 04:46:22,NA,NA,NA
2022-08-22 05:19:12,NA,NA,NA
2022-08-23 05:31:07,NA,NA,NA
2022-08-24 05:19:02,NA,NA,NA
2022-08-25 05:33:30,NA,NA,NA
2022-08-26 05:38:16,NA,NA,NA
